DOMAIN_TIMESTAMP,PAIR,VALUE
28-JUN-24 02.24.43.000000000 PM,GBP/USD,1.2636
28-JUN-24 02.25.49.000000000 PM,GBP/USD,1.2639
28-JUN-24 02.26.55.000000000 PM,GBP/USD,1.2637
28-JUN-24 02.28.00.000000000 PM,GBP/USD,1.2636
28-JUN-24 02.29.06.000000000 PM,GBP/USD,1.2636
28-JUN-24 02.30.11.000000000 PM,GBP/USD,1.2636
28-JUN-24 02.31.16.000000000 PM,GBP/USD,1.2635
28-JUN-24 02.32.21.000000000 PM,GBP/USD,1.2634
28-JUN-24 02.33.27.000000000 PM,GBP/USD,1.2634
28-JUN-24 03.12.30.000000000 PM,GBP/USD,1.2645
28-JUN-24 03.13.36.000000000 PM,GBP/USD,1.2645
28-JUN-24 03.14.42.000000000 PM,GBP/USD,1.2644
28-JUN-24 03.16.44.000000000 PM,GBP/USD,1.2645
28-JUN-24 03.20.07.000000000 PM,GBP/USD,1.2647
28-JUN-24 03.21.14.000000000 PM,GBP/USD,1.2649
28-JUN-24 03.25.00.000000000 PM,GBP/USD,1.2646
28-JUN-24 03.27.00.000000000 PM,GBP/USD,1.2646
28-JUN-24 03.28.06.000000000 PM,GBP/USD,1.2649
28-JUN-24 03.31.38.000000000 PM,GBP/USD,1.2647
28-JUN-24 03.32.46.000000000 PM,GBP/USD,1.2651
28-JUN-24 03.36.28.000000000 PM,GBP/USD,1.2649
28-JUN-24 03.37.35.000000000 PM,GBP/USD,1.2649
28-JUN-24 03.38.41.000000000 PM,GBP/USD,1.2649
28-JUN-24 03.42.10.000000000 PM,GBP/USD,1.2646
28-JUN-24 03.46.44.000000000 PM,GBP/USD,1.2645
28-JUN-24 03.54.58.000000000 PM,GBP/USD,1.2646
28-JUN-24 03.57.12.000000000 PM,GBP/USD,1.2647
28-JUN-24 04.10.03.000000000 PM,GBP/USD,1.2651
28-JUN-24 04.11.09.000000000 PM,GBP/USD,1.2649
28-JUN-24 04.12.16.000000000 PM,GBP/USD,1.2649
28-JUN-24 04.14.39.000000000 PM,GBP/USD,1.2651
28-JUN-24 04.15.45.000000000 PM,GBP/USD,1.2648
28-JUN-24 04.18.20.000000000 PM,GBP/USD,1.2649
28-JUN-24 04.19.27.000000000 PM,GBP/USD,1.265
28-JUN-24 04.23.00.000000000 PM,GBP/USD,1.265
28-JUN-24 04.24.06.000000000 PM,GBP/USD,1.2651
28-JUN-24 04.25.51.000000000 PM,GBP/USD,1.2655
28-JUN-24 04.27.03.000000000 PM,GBP/USD,1.2654
